"工事名","工事番号","請負金額（本工事）","請負金額（追加・各戸）","実行予算時利益率","大工種コード","大工種名称","中工種コード","中工種名称","小工種コード","小工種名称","元積原価","実行予算額（1回目）","取極め金額（税抜）","支払先業者コード","支払先業者名称","出面","注文書番号","月別原価金額1","原価発生月1","月別原価金額2","原価発生月2"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A000","共通仮設（外注費）","1752000","1752000","1250000","0211046","株式会社コンサルタント協同","0","0000018485","625000","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A000","共通仮設（外注費）","0","0","0","0211046","株式会社コンサルタント協同","0","","10000","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A000","共通仮設（外注費）","2050000","2050000","2050000","0211047","株式会社コア・プライム","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A000","共通仮設（外注費）","0","924000","0","0212046","総合建設ニッショー","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A111","共通仮設（材料費）","0","50000","50000","0212049","株式会社三幸設計","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A111","共通仮設（材料費）","0","50000","50000","0215002","文化興業株式会社","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A000","共通仮設（外注費）","924000","0","924000","0311017","コミュニティワン株式会社","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A000","共通仮設（外注費）","1145100","1145100","1145100","","","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","A","共通仮設工事","A1","共通仮設","A111","共通仮設（材料費）","0","0","0","","","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","B","足場架設工事","B1","足場架設","B000","足場架設（外注費）","19880","0","21300","0311022","【決算】株式会社グローバル・ハート","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","B","足場架設工事","B1","足場架設","B000","足場架設（外注費）","350000","0","350000","0313051","株式会社東急コミュニティー　","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","B","足場架設工事","B1","足場架設","B000","足場架設（外注費）","6800600","6870480","6800600","","","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","B","足場架設工事","B1","足場架設","B111","足場架設（材料費）","0","0","0","","","0","","0","2025/07","0","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","Y","追加工事","Y1","追加","Y000","追加（外注費）","0","0","225000","","","0","","10","2025/07","20","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","Y","追加工事","Y1","追加","Y111","追加（材料費）","0","0","6000","","","0","","1","2025/07","2","2025/08"
"精算書（支払台帳）　確認データ","YO05000001-001","23000000","3024000","25.5","Z001","経費","Z010","諸経費","","","6539000","6539000","6539000","","","0","","0","2025/07","0","2025/08"
