"工事名","工事番号","請負金額（本工事）","請負金額（追加・各戸）","実行予算時利益率","大工種コード","大工種名称","中工種コード","中工種名称","小工種コード","小工種名称","元積原価","実行予算額（1回目）","取極め金額（税抜）","支払先業者コード","支払先業者名称","出面","注文書番号","月別原価金額1","原価発生月1","月別原価金額2","原価発生月2","月別原価金額3","原価発生月3","月別原価金額4","原価発生月4","月別原価金額5","原価発生月5","月別原価金額6","原価発生月6","月別原価金額7","原価発生月7","月別原価金額8","原価発生月8"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A030","養生費","A300","養生費(外注費)","450000","800000","800000","0522043","有限会社義人総建","0","0000017859","0","2025/01","0","2025/02","300000","2025/03","210000","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A040","安全対策費","A400","安全対策費(外注費)","0","1925000","1137500","0522066","輝龍株式会社　","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A030","養生費","A301","養生費(材料費)","0","0","0","0526417","株式会社ゲットクリーンコート","0","","0","2025/01","18400","2025/02","0","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A020","仮設電気工事","A200","仮設電気(外注費)","400000","400000","400000","0528071","有限会社近藤電設","0","0000018132","0","2025/01","0","2025/02","0","2025/03","216000","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A050","廃材処理","A500","廃材処理(外注費)","0","0","0","0533016","新和環境株式会社","0","","0","2025/01","0","2025/02","0","2025/03","105000","2025/04","174500","2025/05","45000","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A030","養生費","A301","養生費(材料費)","0","0","0","0610001","有限会社青柳勘重商店","0","","0","2025/01","0","2025/02","29200","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A050","廃材処理","A500","廃材処理(外注費)","0","0","0","0618020","株式会社大空リサイクルセンター","0","","0","2025/01","0","2025/02","0","2025/03","0","2025/04","1325","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A030","養生費","A301","養生費(材料費)","0","0","0","0620017","化研マテリアル株式会社","0","","0","2025/01","0","2025/02","32465","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A040","安全対策費","A400","安全対策費(外注費)","250000","250000","250000","0624010","株式会社グローリージャパン","0","","0","2025/01","0","2025/02","143000","2025/03","0","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
"オーベル練馬スマーティア　大規模修繕工事","9000730269-001","82000000","5634000","8.6","A001","共通仮設工事","A030","養生費","A301","養生費(材料費)","0","0","0","0658003","野口興産株式会社南関東支店","0","","0","2025/01","0","2025/02","37200","2025/03","58270","2025/04","0","2025/05","0","2025/06","0","2025/07","0","2025/08"
